from,to
*_DLFLS,and_PRDIP
*_FSWIR,*_DATVS
*_FSWIR,*_SHINY
*_FSWIR,and_IBAYE
*_FSWIR,or_BPP
*_FSWU,*_ADVU
*_FSWU,or_DOCK
*_FSWU,or_GIT
*_FSWU,or_HPCLS
*_FSWU,or_ICWRR
*_FSWU,or_NGSQC
*_NGSQC,*_ISCTR
*_PYTFS,*_GPU
*_PYTFS,*_OPTPY
*_PYTFS,and_PRDIP
*_PYTFS,or_BPP
*_PYTFS,or_DARPY
*_PYTFS,or_INMLP
*_PYTFS,or_INTPY
*_PYTFS,or_STAML
*_STATR,and_IBAYE
*_STATR,or_DARPY
*_STATR,or_INMLP
*_STATR,or_INTPY
*_STATR,or_STAML
2012_UNIXF,*_FAIR
2012_UNIXF,*_IRNAS
2012_UNIXF,*_NGSGV
2012_UNIXF,or_DOCK
2012_UNIXF,or_GIT
2012_UNIXF,or_HPCLS
2012_UNIXF,or_ICWRR
2012_UNIXF,or_NGSQC
and_PRDIP,*_PRDIP
and_IBAYE,*_IBAYE
or_BPP,*_BPP
or_DARPY,*_DARPY
or_DOCK,*_DOCK
or_GIT,*_GIT
or_HPCLS,2018_HPCLS
or_ICWRR,*_ICWRR
or_INMLP,*_INMLP
or_INTPY,*_INTPY
or_NGSQC,*_NGSQC
or_STAML,*_STAML
